term,code,reference,see_also,type,indent_level
suspect,Y35.313,,,code,0
unspecified person,Y35.319,,,code,0
bystander,Y35.302,,,code,0
law enforcement personnel,Y35.301,,,code,0
suspect,Y35.303,,,code,0
unspecified person,Y35.309,,,code,0
bystander,Y35.392,,,code,0
law enforcement personnel,Y35.391,,,code,0
suspect,Y35.393,,,code,0
unspecified person,Y35.399,,,code,0
bystander,Y35.392,,,code,0
law enforcement personnel,Y35.391,,,code,0
suspect,Y35.393,,,code,0
unspecified person,Y35.399,,,code,0
bomb,,"Legal, intervention, explosive",,see,0
bystander,Y35.832,,,code,0
law enforcement personnel,Y35.831,,,code,0
suspect,Y35.833,,,code,0
unspecified person,Y35.839,,,code,0
cutting or piercing instrument,,"Legal, intervention, sharp object",,see,0
dynamite,,"Legal, intervention, explosive, dynamite",,see,0
bystander,Y35.832,,,code,0
law enforcement personnel,Y35.831,,,code,0
suspect,Y35.833,,,code,0
unspecified person,Y35.839,,,code,0
bystander,Y35.112,,,code,0
law enforcement personnel,Y35.111,,,code,0
suspect,Y35.113,,,code,0
unspecified person,Y35.119,,,code,0
bystander,Y35.192,,,code,0
law enforcement personnel,Y35.191,,,code,0
suspect,Y35.193,,,code,0
unspecified person,Y35.199,,,code,0
bystander,Y35.102,,,code,0
law enforcement personnel,Y35.101,,,code,0
suspect,Y35.103,,,code,0
unspecified person,Y35.109,,,code,0
bystander,Y35.192,,,code,0
law enforcement personnel,Y35.191,,,code,0
suspect,Y35.193,,,code,0
unspecified person,Y35.199,,,code,0
bystander,Y35.122,,,code,0
law enforcement personnel,Y35.121,,,code,0
suspect,Y35.123,,,code,0
unspecified person,Y35.129,,,code,0
bystander,Y35.192,,,code,0
law enforcement personnel,Y35.191,,,code,0
suspect,Y35.193,,,code,0
unspecified person,Y35.199,,,code,0
bystander,Y35.022,,,code,0
law enforcement personnel,Y35.021,,,code,0
suspect,Y35.023,,,code,0
unspecified person,Y35.029,,,code,0
bystander,Y35.002,,,code,0
law enforcement personnel,Y35.001,,,code,0
suspect,Y35.003,,,code,0
unspecified person,Y35.009,,,code,0
bystander,Y35.012,,,code,0
law enforcement personnel,Y35.011,,,code,0
suspect,Y35.013,,,code,0
unspecified person,Y35.019,,,code,0
bystander,Y35.032,,,code,0
law enforcement personnel,Y35.031,,,code,0
suspect,Y35.033,,,code,0
unspecified person,Y35.039,,,code,0
bystander,Y35.042,,,code,0
law enforcement personnel,Y35.041,,,code,0
suspect,Y35.043,,,code,0
unspecified person,Y35.049,,,code,0
shotgun,,"Legal, intervention, firearm, specified NEC",,see,0
bystander,Y35.092,,,code,0
law enforcement personnel,Y35.091,,,code,0
suspect,Y35.093,,,code,0
unspecified person,Y35.099,,,code,0
bystander,Y35.202,,,code,0
law enforcement personnel,Y35.201,,,code,0
suspect,Y35.203,,,code,0
unspecified person,Y35.209,,,code,0
bystander,Y35.292,,,code,0
law enforcement personnel,Y35.291,,,code,0
suspect,Y35.293,,,code,0
unspecified person,Y35.299,,,code,0
bystander,Y35.212,,,code,0
law enforcement personnel,Y35.211,,,code,0
suspect,Y35.213,,,code,0
unspecified person,Y35.219,,,code,0
grenade,,"Legal, intervention, explosive, grenade",,see,0
bystander,Y35.92,,,code,0
law enforcement personnel,Y35.91,,,code,0
suspect,Y35.93,,,code,0
unspecified person,Y35.99,,,code,0
late effect (of),,Y35 with 7th character S,,see,0
bystander,Y35.812,,,code,0
law enforcement personnel,Y35.811,,,code,0
suspect,Y35.813,,,code,0
unspecified person,Y35.819,,,code,0
sequelae (of),,Y35 with 7th character S,,see,0
bystander,Y35.412,,,code,0
law enforcement personnel,Y35.411,,,code,0
suspect,Y35.413,,,code,0
unspecified person,Y35.419,,,code,0
bystander,Y35.402,,,code,0
law enforcement personnel,Y35.401,,,code,0
suspect,Y35.403,,,code,0
unspecified person,Y35.409,,,code,0
bystander,Y35.492,,,code,0
law enforcement personnel,Y35.491,,,code,0
suspect,Y35.493,,,code,0
unspecified person,Y35.499,,,code,0
bystander,Y35.892,,,code,0
law enforcement personnel,Y35.891,,,code,0
suspect,Y35.893,,,code,0
unspecified person,Y35.899,,,code,0
stabbing,,"Legal, intervention, sharp object",,see,0
stave,,"Legal, intervention, blunt object, stave",,see,0
bystander,Y35.832,,,code,0
law enforcement personnel,Y35.831,,,code,0
suspect,Y35.833,,,code,0
unspecified person,Y35.839,,,code,0
bystander,Y35.832,,,code,0
law enforcement personnel,Y35.831,,,code,0
suspect,Y35.833,,,code,0
unspecified person,Y35.839,,,code,0
tear gas,,"Legal, intervention, gas, tear gas",,see,0
truncheon,,"Legal, intervention, blunt object, stave",,see,0
Lifting,,,Overexertion,see_also,0
heavy objects,X50.0,,,code,0
weights,X50.0,,,code,0
Lightning (shock) (stroke) (struck by),T75.0,subcategory,,code_with_see,0
causing fire,,"Exposure, fire",,see,0
Loss of control (transport vehicle) NEC,,"Accident, transport",,see,0
Lost at sea NOS,,"Drowning, due to, fall overboard",,see,0
pressure (effects),,"Air, pressure, low",,see,0
temperature (effects),,"Exposure, cold",,see,0
"Lying before train, vehicle or other moving object",X81.8,,,code,0
subway train,X81.1,,,code,0
train,X81.1,,,code,0
undetermined whether accidental or intentional,Y31,,,code,0
Lynching,,Assault,,see,0
firearm,W34.10,,,code,0
airgun,W34.110,,,code,0
BB gun,W34.110,,,code,0
"gas, air or spring-operated gun NEC",W34.118,,,code,0
handgun,W32.1,,,code,0
hunting rifle,W33.12,,,code,0
larger firearm,W33.10,,,code,0
specified NEC,W33.19,,,code,0
machine gun,W33.13,,,code,0
paintball gun,W34.111,,,code,0
pellet gun,W34.110,,,code,0
shotgun,W33.11,,,code,0
specified NEC,W34.19,,,code,0
Very pistol [flare],W34.19,,,code,0
handgun,,"Malfunction, firearm, handgun",,see,0
Maltreatment,,Perpetrator,,see,0
Mangled (accidentally) NOS,X58,,,code,0
"Manhandling (in brawl, fight)",Y04.0,,,code,0
legal intervention,,"Legal, intervention, manhandling",,see,0
Manslaughter (nonaccidental),,Assault,,see,0
Mauled by animal NEC,W55.89,,,code,0
due to or as a result of misadventure,,Misadventure,,see,0
Melting (due to fire),,,"Exposure, fire",see_also,0
apparel NEC,X06.3,,,code,0
"clothes, clothing NEC",X06.3,,,code,0
nightwear,X05,,,code,0
fittings or furniture (burning building) (uncontrolled fire),X00.8,,,code,0
nightwear,X05,,,code,0
plastic jewelry,X06.1,,,code,0
Mental cruelty,X58,,,code,0
destruction,,"Military operations, destruction of aircraft",,see,0
airway restriction,,"Military operations, restriction of airways",,see,0
asphyxiation,,"Military operations, restriction of airways",,see,0
conflagration,,"Military operations, fire",,see,0
bomb NOS,,,"Military operations, bomb(s) Y37.20-",see_also,0
hot substances,,"Military operations, fire",,see,0
suffocation,,"Military operations, restriction of airways",,see,0
Misadventure(s) to patient(s) during surgical or medical care,Y69,,,code,0
"contaminated medical or biological substance (blood, drug, fluid)",Y64.9,,,code,0
administered (by) NEC,Y64.9,,,code,0
immunization,Y64.1,,,code,0
infusion,Y64.0,,,code,0
injection,Y64.1,,,code,0
specified means NEC,Y64.8,,,code,0
transfusion,Y64.0,,,code,0
vaccination,Y64.1,,,code,0
excessive amount of blood or other fluid during transfusion or infusion,Y63.0,,,code,0
in dosage,Y63.9,,,code,0
electroshock therapy,Y63.4,,,code,0
inappropriate temperature (too hot or too cold) in local application and packing,Y63.5,,,code,0
excessive amount of fluid,Y63.0,,,code,0
incorrect dilution of fluid,Y63.1,,,code,0
insulin-shock therapy,Y63.4,,,code,0
nonadministration of necessary drug or biological substance,Y63.6,,,code,0
overdose,,Table of Drugs and Chemicals,,see,0
"radiation, in therapy",Y63.2,,,code,0
overdose,Y63.2,,,code,0
specified procedure NEC,Y63.8,,,code,0
excessive amount of blood,Y63.0,,,code,0
"mechanical, of instrument or apparatus (any) (during any procedure)",Y65.8,,,code,0
sterile precautions (during procedure),Y62.9,,,code,0
"aspiration of fluid or tissue (by puncture or catheterization, except heart)",Y62.6,,,code,0
biopsy (except needle aspiration),Y62.8,,,code,0
needle (aspirating),Y62.6,,,code,0
blood sampling,Y62.6,,,code,0
catheterization,Y62.6,,,code,0
heart,Y62.5,,,code,0
dialysis (kidney),Y62.2,,,code,0
endoscopic examination,Y62.4,,,code,0
enema,Y62.8,,,code,0
immunization,Y62.3,,,code,0
infusion,Y62.1,,,code,0
injection,Y62.3,,,code,0
needle biopsy,Y62.6,,,code,0
paracentesis (abdominal) (thoracic),Y62.6,,,code,0
perfusion,Y62.2,,,code,0
puncture (lumbar),Y62.6,,,code,0
removal of catheter or packing,Y62.8,,,code,0
specified procedure NEC,Y62.8,,,code,0
surgical operation,Y62.0,,,code,0
transfusion,Y62.1,,,code,0
vaccination,Y62.3,,,code,0
suture or ligature during surgical procedure,Y65.2,,,code,0
to introduce or to remove tube or instrument,,"Failure, to",,see,0
hemorrhage,,"Index to Diseases and Injuries, Complication(s)",,see,0
inadvertent exposure of patient to radiation,Y63.3,,,code,0
operation performed,,Inappropriate operation performed,,see,0
temperature (too hot or too cold) in local application or packing,Y63.5,,,code,0
infusion,Y69,,"Misadventure, by type, infusion",code_with_see_also,0
excessive amount of fluid,Y63.0,,,code,0
incorrect dilution of fluid,Y63.1,,,code,0
wrong fluid,Y65.1,,,code,0
mismatched blood in transfusion,Y65.0,,,code,0
nonadministration of necessary drug or biological substance,Y63.6,,,code,0
overdose,,Table of Drugs and Chemicals,,see,0
radiation (in therapy),Y63.2,,,code,0
perforation,,"Index to Diseases and Injuries, Complication(s)",,see,0
performance of inappropriate operation,,Inappropriate operation performed,,see,0
puncture,,"Index to Diseases and Injuries, Complication(s)",,see,0
specified type NEC,Y65.8,,,code,0
suture or ligature during surgical operation,Y65.2,,,code,0
to introduce or to remove tube or instrument,,"Failure, to",,see,0
infusion of wrong fluid,Y65.1,,,code,0
performance of inappropriate operation,,Inappropriate operation performed,,see,0
transfusion of mismatched blood,Y65.0,,,code,0
fluid in infusion,Y65.1,,,code,0
placement of endotracheal tube during anesthetic procedure,Y65.3,,,code,0
transfusion,,"Misadventure, by type, transfusion",,see,0
excessive amount of blood,Y63.0,,,code,0
mismatched blood,Y65.0,,,code,0
drug given in error,,Table of Drugs and Chemicals,,see,0
fluid in infusion,Y65.1,,,code,0
placement of endotracheal tube during anesthetic procedure,Y65.3,,,code,0
Mismatched blood in transfusion,Y65.0,,,code,0
Motion sickness,T75.3,,,code,0
Mountain sickness,W94.11,,,code,0
Mudslide (of cataclysmic nature),,Landslide,,see,0
Murder (attempt),,Assault,,see,0
contact with,W45.0,,,code,0
gun,W29.4,,,code,0
embedded in skin,W45.0,,,code,0
Neglect (criminal) (homicidal intent),X58,,,code,0
Noise (causing injury) (pollution),W42.9,,,code,0
supersonic,W42.0,,,code,0
drug or biological substance (necessary),Y63.6,,,code,0
surgical and medical care,Y66,,,code,0
Nosocomial condition,Y95,,,code,0
machinery,,"Contact, with, by type of machine",,see,0
accidental explosion or rupture of pressure vessel,W38,,,code,0
firearm,,"Discharge, firearm, by type",,see,0
machine (ry),,"Contact, with, by type of machine",,see,0
Overdose (drug),,Table of Drugs and Chemicals,,see,0
radiation,Y63.2,,,code,0
Overexertion,X50.9,,,code,0
prolonged static or awkward postures,X50.1,,,code,0
repetitive movements,X50.3,,,code,0
specified strenuous movements or postures NEC,X50.9,,,code,0
strenuous movement or load,X50.0,,,code,0
cold,X31,,"Exposure, cold",code_with_see_also,0
due to man-made conditions,,"Exposure, cold, man-made",,see,0
heat,X30,,Heat,code_with_see_also,0
radiation,,Radiation,,see,0
radioactivity,W88.0,,,code,0
sun (sunburn),X32,,,code,0
weather NEC,,Forces of nature,,see,0
wind NEC,,Forces of nature,,see,0
Overheated,,Heat,,see,0
machinery,,"Contact, with, by type of machine",,see,0
transport vehicle NEC,V89.9,,"Accident, transport",code_with_see_also,0
"watercraft (causing drowning, submersion)",,,"Drowning, due to, accident to, watercraft, overturning",see_also,0
causing injury except drowning or submersion,,"Accident, watercraft, causing, injury NEC",,see,0
Parachute descent (voluntary) (without accident to aircraft),V97.29,,,code,0
due to accident to aircraft,,"Accident, transport, aircraft",,see,0
Pecked by bird,W61.99,,,code,0
Perforation during medical or surgical treatment as misadventure,,"Index to Diseases and Injuries,",,see,0
"Perpetrator, perpetration, of assault, maltreatment and neglect (by)",Y07.9,,,code,0
acquaintance,Y07.54,,,code,0
aunt,Y07.47,,,code,0
current,Y07.030,,,code,0
former,Y07.031,,,code,0
brother,Y07.410,,,code,0
stepbrother,Y07.435,,,code,0
child (adopted) (biological) (foster) (in-law) (step),Y07.44,,,code,0
coach,Y07.53,,,code,0
female,Y07.491,,,code,0
male,Y07.490,,,code,0
daughter (adopted) (biological) (foster) (in-law) (step),Y07.44,,,code,0
daycare provider,Y07.519,,,code,0
adult care,Y07.512,,,code,0
childcare,Y07.510,,,code,0
adult care,Y07.513,,,code,0
childcare,Y07.511,,,code,0
family member NEC,Y07.499,,,code,0
father,Y07.11,,,code,0
adoptive,Y07.13,,,code,0
foster,Y07.420,,,code,0
stepfather,Y07.430,,,code,0
foster father,Y07.420,,,code,0
foster mother,Y07.421,,,code,0
friend,Y07.54,,,code,0
current,Y07.040,,,code,0
former,Y07.041,,,code,0
grandchild (adopted) (biological) (foster) (in-law) (step),Y07.45,,,code,0
granddaughter (adopted) (biological) (foster) (in-law) (step),Y07.45,,,code,0
grandfather,Y07.46,,,code,0
grandmother,Y07.46,,,code,0
grandparent,Y07.46,,,code,0
grandson (adopted) (biological) (foster) (in-law) (step),Y07.45,,,code,0
healthcare provider,Y07.529,,,code,0
mental health,Y07.521,,,code,0
specified NEC,Y07.528,,,code,0
current,Y07.010,,,code,0
former,Y07.011,,,code,0
instructor,Y07.53,,,code,0
mother,Y07.12,,,code,0
adoptive,Y07.14,,,code,0
foster,Y07.421,,,code,0
stepmother,Y07.433,,,code,0
multiple perpetrators,Y07.6,,,code,0
child (adopted) (biological) (foster) (in-law) (step),Y07.44,,,code,0
grandchild (adopted) (biological) (foster) (in-law) (step),Y07.45,,,code,0
grandparent,Y07.46,,,code,0
parental sibling,Y07.47,,,code,0
nonfamily member,Y07.50,,,code,0
specified NEC,Y07.59,,,code,0
nurse,Y07.528,,,code,0
occupational therapist,Y07.528,,,code,0
parental sibling,Y07.47,,,code,0
current,Y07.040,,,code,0
former,Y07.041,,,code,0
current,Y07.050,,,code,0
former,Y07.051,,,code,0
current,Y07.030,,,code,0
former,Y07.031,,,code,0
current,Y07.050,,,code,0
former,Y07.051,,,code,0
female,Y07.434,,,code,0
male,Y07.432,,,code,0
physical therapist,Y07.528,,,code,0
sister,Y07.411,,,code,0
son (adopted) (biological) (foster) (in-law) (step),Y07.44,,,code,0
speech therapist,Y07.528,,,code,0
stepbrother,Y07.435,,,code,0
stepfather,Y07.430,,,code,0
stepmother,Y07.433,,,code,0
stepsister,Y07.436,,,code,0
teacher,Y07.53,,,code,0
uncle,Y07.47,,,code,0
current,Y07.020,,,code,0
former,Y07.021,,,code,0
Piercing,,"Contact, with, by type of object or machine",,see,0
between objects (moving) (stationary and moving),W23.0,,,code,0
stationary,W23.1,,,code,0
Pinned under machine (ry),,"Contact, with, by type of machine",,see,0
Place of occurrence,Y92.9,,,code,0
abandoned house,Y92.89,,,code,0
airplane,Y92.813,,,code,0
airport,Y92.520,,,code,0
ambulatory health services establishment NEC,Y92.538,,,code,0
ambulatory surgery center,Y92.530,,,code,0
amusement park,Y92.831,,,code,0
apartment (co-op),,"Place of occurrence, residence, apartment",,see,0
assembly hall,Y92.29,,,code,0
bank,Y92.510,,,code,0
bar,Y92.59,,,code,0
barn,Y92.71,,,code,0
baseball field,Y92.320,,,code,0
basketball court,Y92.310,,,code,0
beach,Y92.832,,,code,0
boarding house,,"Place of occurrence, residence, boarding house",,see,0
boat,Y92.814,,,code,0
bowling alley,Y92.39,,,code,0
bridge,Y92.89,,,code,0
building under construction,Y92.61,,,code,0
bus,Y92.811,,,code,0
station,Y92.521,,,code,0
cafe,Y92.511,,,code,0
campsite,Y92.833,,,code,0
campus,,"Place of occurrence, school",,see,0
canal,Y92.89,,,code,0
car,Y92.810,,,code,0
casino,Y92.59,,,code,0
children's home,,"Place of occurrence, residence, institutional, orphanage",,see,0
church,Y92.22,,,code,0
cinema,Y92.26,,,code,0
clubhouse,Y92.29,,,code,0
coal pit,Y92.64,,,code,0
college (community),Y92.214,,,code,0
condominium,,"Place of occurrence, residence, apartment",,see,0
construction area,,"Place of occurrence, industrial and construction area",,see,0
convalescent home,,"Place of occurrence, residence, institutional, nursing home",,see,0
court-house,Y92.240,,,code,0
cricket ground,Y92.328,,,code,0
cultural building,Y92.258,,,code,0
art gallery,Y92.250,,,code,0
museum,Y92.251,,,code,0
music hall,Y92.252,,,code,0
opera house,Y92.253,,,code,0
specified NEC,Y92.258,,,code,0
theater,Y92.254,,,code,0
dancehall,Y92.252,,,code,0
day nursery,Y92.210,,,code,0
dentist office,Y92.531,,,code,0
derelict house,Y92.89,,,code,0
desert,Y92.820,,,code,0
dock NOS,Y92.89,,,code,0
dockyard,Y92.62,,,code,0
doctor's office,Y92.531,,,code,0
dormitory,,"Place of occurrence, residence, institutional, school dormitory",,see,0
dry dock,Y92.62,,,code,0
factory (building) (premises),Y92.63,,,code,0
farm (land under cultivation) (outbuildings),Y92.79,,,code,0
barn,Y92.71,,,code,0
chicken coop,Y92.72,,,code,0
field,Y92.73,,,code,0
hen house,Y92.72,,,code,0
house,,"Place of occurrence, residence, house",,see,0
orchard,Y92.74,,,code,0
specified NEC,Y92.79,,,code,0
football field,Y92.321,,,code,0
forest,Y92.821,,,code,0
freeway,Y92.411,,,code,0
gallery,Y92.250,,,code,0
garage (commercial),Y92.59,,,code,0
boarding house,Y92.044,,,code,0
military base,Y92.135,,,code,0
mobile home,Y92.025,,,code,0
nursing home,Y92.124,,,code,0
orphanage,Y92.114,,,code,0
private house,Y92.015,,,code,0
reform school,Y92.155,,,code,0
gas station,Y92.524,,,code,0
gasworks,Y92.69,,,code,0
golf course,Y92.39,,,code,0
gravel pit,Y92.64,,,code,0
grocery,Y92.512,,,code,0
gymnasium,Y92.39,,,code,0
handball court,Y92.318,,,code,0
harbor,Y92.89,,,code,0
harness racing course,Y92.39,,,code,0
healthcare provider office,Y92.531,,,code,0
highway,Y92.410,,,code,0
interstate,Y92.411,,,code,0
hill,Y92.828,,,code,0
hockey rink,Y92.330,,,code,0
home,,"Place of occurrence, residence",,see,0
hospice,,"Place of occurrence, residence, institutional, nursing home",,see,0
hospital,Y92.239,,,code,0
cafeteria,Y92.233,,,code,0
corridor,Y92.232,,,code,0
operating room,Y92.234,,,code,0
bathroom,Y92.231,,,code,0
room,Y92.230,,,code,0
specified NEC,Y92.238,,,code,0
hotel,Y92.59,,,code,0
house,,,"Place of occurrence, residence",see_also,0
abandoned,Y92.89,,,code,0
under construction,Y92.61,,,code,0
industrial and construction area (yard),Y92.69,,,code,0
building under construction,Y92.61,,,code,0
dock,Y92.62,,,code,0
dry dock,Y92.62,,,code,0
factory,Y92.63,,,code,0
gasworks,Y92.69,,,code,0
mine,Y92.64,,,code,0
oil rig,Y92.65,,,code,0
pit,Y92.64,,,code,0
power station,Y92.69,,,code,0
shipyard,Y92.62,,,code,0
specified NEC,Y92.69,,,code,0
tunnel under construction,Y92.69,,,code,0
workshop,Y92.69,,,code,0
interstate,Y92.411,,,code,0
kindergarten,Y92.211,,,code,0
lacrosse field,Y92.328,,,code,0
lake,Y92.838,,,code,0
wilderness,Y92.828,,,code,0
library,Y92.241,,,code,0
mall,Y92.59,,,code,0
market,Y92.512,,,code,0
marsh,Y92.828,,,code,0
base,,"Place of occurrence, residence, institutional, military base",,see,0
training ground,Y92.84,,,code,0
mine,Y92.64,,,code,0
mosque,Y92.22,,,code,0
motel,Y92.59,,,code,0
motorway (interstate),Y92.411,,,code,0
mountain,Y92.828,,,code,0
movie-house,Y92.26,,,code,0
museum,Y92.251,,,code,0
music-hall,Y92.252,,,code,0
not applicable,Y92.9,,,code,0
nuclear power station,Y92.69,,,code,0
nursing home,,"Place of occurrence, residence, institutional, nursing home",,see,0
office building,Y92.59,,,code,0
offshore installation,Y92.65,,,code,0
oil rig,Y92.65,,,code,0
old people's home,,"Place of occurrence, residence, institutional, specified NEC",,see,0
opera-house,Y92.253,,,code,0
orphanage,,"Place of occurrence, residence, institutional, orphanage",,see,0
outpatient surgery center,Y92.530,,,code,0
park (public),Y92.830,,,code,0
amusement,Y92.831,,,code,0
parking garage,Y92.89,,,code,0
lot,Y92.481,,,code,0
pavement,Y92.480,,,code,0
physician office,Y92.531,,,code,0
polo field,Y92.328,,,code,0
pond,Y92.828,,,code,0
post office,Y92.242,,,code,0
power station,Y92.69,,,code,0
prairie,Y92.828,,,code,0
prison,,"Place of occurrence, residence, institutional, prison",,see,0
administration building,Y92.248,,,code,0
city hall,Y92.243,,,code,0
courthouse,Y92.240,,,code,0
library,Y92.241,,,code,0
post office,Y92.242,,,code,0
specified NEC,Y92.248,,,code,0
building NEC,Y92.29,,,code,0
hall,Y92.29,,,code,0
place NOS,Y92.89,,,code,0
race course,Y92.39,,,code,0
radio station,Y92.59,,,code,0
railway line (bridge),Y92.85,,,code,0
ranch (outbuildings),,"Place of occurrence, farm",,see,0
recreation area,Y92.838,,,code,0
amusement park,Y92.831,,,code,0
beach,Y92.832,,,code,0
campsite,Y92.833,,,code,0
park (public),Y92.830,,,code,0
seashore,Y92.832,,,code,0
specified NEC,Y92.838,,,code,0
religious institution,Y92.22,,,code,0
reform school,,"Place of occurrence, residence, institutional, reform school",,see,0
residence (non-institutional) (private),Y92.009,,,code,0
apartment,Y92.039,,,code,0
bathroom,Y92.031,,,code,0
bedroom,Y92.032,,,code,0
kitchen,Y92.030,,,code,0
specified NEC,Y92.038,,,code,0
bathroom,Y92.002,,,code,0
bedroom,Y92.003,,,code,0
boarding house,Y92.049,,,code,0
bathroom,Y92.041,,,code,0
bedroom,Y92.042,,,code,0
driveway,Y92.043,,,code,0
garage,Y92.044,,,code,0
garden,Y92.046,,,code,0
kitchen,Y92.040,,,code,0
specified NEC,Y92.048,,,code,0
swimming pool,Y92.045,,,code,0
yard,Y92.046,,,code,0
dining room,Y92.001,,,code,0
garden,Y92.007,,,code,0
home,Y92.009,,,code,0
"house, single family",Y92.019,,,code,0
bathroom,Y92.012,,,code,0
bedroom,Y92.013,,,code,0
dining room,Y92.011,,,code,0
driveway,Y92.014,,,code,0
garage,Y92.015,,,code,0
garden,Y92.017,,,code,0
kitchen,Y92.010,,,code,0
specified NEC,Y92.018,,,code,0
swimming pool,Y92.016,,,code,0
yard,Y92.017,,,code,0
institutional,Y92.10,,,code,0
children's home,,"Place of occurrence, residence, institutional, orphanage",,see,0
hospice,,"Place of occurrence, residence, institutional, nursing home",,see,0
military base,Y92.139,,,code,0
barracks,Y92.133,,,code,0
garage,Y92.135,,,code,0
garden,Y92.137,,,code,0
kitchen,Y92.130,,,code,0
mess hall,Y92.131,,,code,0
specified NEC,Y92.138,,,code,0
swimming pool,Y92.136,,,code,0
yard,Y92.137,,,code,0
nursing home,Y92.129,,,code,0
bathroom,Y92.121,,,code,0
bedroom,Y92.122,,,code,0
driveway,Y92.123,,,code,0
garage,Y92.124,,,code,0
garden,Y92.126,,,code,0
kitchen,Y92.120,,,code,0
specified NEC,Y92.128,,,code,0
swimming pool,Y92.125,,,code,0
yard,Y92.126,,,code,0
orphanage,Y92.119,,,code,0
bathroom,Y92.111,,,code,0
bedroom,Y92.112,,,code,0
driveway,Y92.113,,,code,0
garage,Y92.114,,,code,0
garden,Y92.116,,,code,0
kitchen,Y92.110,,,code,0
specified NEC,Y92.118,,,code,0
swimming pool,Y92.115,,,code,0
yard,Y92.116,,,code,0
prison,Y92.149,,,code,0
bathroom,Y92.142,,,code,0
cell,Y92.143,,,code,0
courtyard,Y92.147,,,code,0
dining room,Y92.141,,,code,0
kitchen,Y92.140,,,code,0
specified NEC,Y92.148,,,code,0
swimming pool,Y92.146,,,code,0
reform school,Y92.159,,,code,0
bathroom,Y92.152,,,code,0
bedroom,Y92.153,,,code,0
dining room,Y92.151,,,code,0
driveway,Y92.154,,,code,0
garage,Y92.155,,,code,0
garden,Y92.157,,,code,0
kitchen,Y92.150,,,code,0
specified NEC,Y92.158,,,code,0
swimming pool,Y92.156,,,code,0
yard,Y92.157,,,code,0
school dormitory,Y92.169,,,code,0
bathroom,Y92.162,,,code,0
bedroom,Y92.163,,,code,0
dining room,Y92.161,,,code,0
kitchen,Y92.160,,,code,0
specified NEC,Y92.168,,,code,0
specified NEC,Y92.199,,,code,0
bathroom,Y92.192,,,code,0
bedroom,Y92.193,,,code,0
dining room,Y92.191,,,code,0
driveway,Y92.194,,,code,0
garage,Y92.195,,,code,0
garden,Y92.197,,,code,0
kitchen,Y92.190,,,code,0
specified NEC,Y92.198,,,code,0
swimming pool,Y92.196,,,code,0
yard,Y92.197,,,code,0
kitchen,Y92.000,,,code,0
mobile home,Y92.029,,,code,0
bathroom,Y92.022,,,code,0
bedroom,Y92.023,,,code,0
dining room,Y92.021,,,code,0
driveway,Y92.024,,,code,0
garage,Y92.025,,,code,0
garden,Y92.027,,,code,0
kitchen,Y92.020,,,code,0
specified NEC,Y92.028,,,code,0
swimming pool,Y92.026,,,code,0
yard,Y92.027,,,code,0
specified place in residence NEC,Y92.008,,,code,0
specified residence type NEC,Y92.099,,,code,0
bathroom,Y92.091,,,code,0
bedroom,Y92.092,,,code,0
driveway,Y92.093,,,code,0
garage,Y92.094,,,code,0
garden,Y92.096,,,code,0
kitchen,Y92.090,,,code,0
specified NEC,Y92.098,,,code,0
swimming pool,Y92.095,,,code,0
yard,Y92.096,,,code,0
restaurant,Y92.511,,,code,0
riding school,Y92.39,,,code,0
river,Y92.828,,,code,0
road,Y92.410,,,code,0
rodeo ring,Y92.39,,,code,0
rugby field,Y92.328,,,code,0
same day surgery center,Y92.530,,,code,0
sand pit,Y92.64,,,code,0
school (private) (public) (state),Y92.219,,,code,0
college,Y92.214,,,code,0
daycare center,Y92.210,,,code,0
elementary school,Y92.211,,,code,0
high school,Y92.213,,,code,0
kindergarten,Y92.211,,,code,0
middle school,Y92.212,,,code,0
specified NEC,Y92.218,,,code,0
trade school,Y92.215,,,code,0
university,Y92.214,,,code,0
vocational school,Y92.215,,,code,0
sea (shore),Y92.832,,,code,0
senior citizen center,Y92.29,,,code,0
airport,Y92.520,,,code,0
bus station,Y92.521,,,code,0
gas station,Y92.524,,,code,0
highway rest stop,Y92.523,,,code,0
railway station,Y92.522,,,code,0
shipyard,Y92.62,,,code,0
shop (commercial),Y92.513,,,code,0
sidewalk,Y92.480,,,code,0
silo,Y92.79,,,code,0
skating rink (roller),Y92.331,,,code,0
ice,Y92.330,,,code,0
slaughter house,Y92.86,,,code,0
soccer field,Y92.322,,,code,0
specified place NEC,Y92.89,,,code,0
sports area,Y92.39,,,code,0
court,Y92.318,,,code,0
basketball,Y92.310,,,code,0
specified NEC,Y92.318,,,code,0
squash,Y92.311,,,code,0
tennis,Y92.312,,,code,0
field,Y92.328,,,code,0
baseball,Y92.320,,,code,0
cricket ground,Y92.328,,,code,0
football,Y92.321,,,code,0
hockey,Y92.328,,,code,0
soccer,Y92.322,,,code,0
specified NEC,Y92.328,,,code,0
golf course,Y92.39,,,code,0
gymnasium,Y92.39,,,code,0
riding school,Y92.39,,,code,0
skating rink (roller),Y92.331,,,code,0
ice,Y92.330,,,code,0
stadium,Y92.39,,,code,0
swimming pool,Y92.34,,,code,0
squash court,Y92.311,,,code,0
stadium,Y92.39,,,code,0
steeplechasing course,Y92.39,,,code,0
store,Y92.512,,,code,0
stream,Y92.828,,,code,0
street and highway,Y92.410,,,code,0
bike path,Y92.482,,,code,0
freeway,Y92.411,,,code,0
